Nombre;Tipo;Precio;Ubicacion;Etiqueta
Nestle Veggie Frutilla;Leche_Y_Derivados;$380;Lider;Vegano
Barra de Chocolate;Snacks;$1.000;Emporio Vive Vegano;Vegano
Hummus;Aceites_Y_Grasas;$2.599;JUMBO;Vegetariano
Hamburguesa a base de vegetales;Carnes_Vegetales;$1.000;Lider;Vegetariano
Hamburguesa de Beterragas y ají;Carnes_Vegetales;$2.290;JUMBO;Vegetariano
Not Burger ;Carnes_Vegetales;$1.690;Estacion Natural ;Vegetariano
Croqueta de verduras;Carnes_Vegetales;$520;Lider;Vegetariano
Preparación Alimenticia Queso Crema;Leche_Y_Derivados;$4.399;JUMBO;Vegetariano
Hojas de parra Vegetarianas;Cereales_Y_Pastas;$6.590;JUMBO;Vegetariano
Beyond Meat Beefy Crumbles;Carnes_Vegetales;$7.349;JUMBO;Vegetariano
Gomitas con frutas;Snacks;$1.699;JUMBO;Vegetariano
Salchicha Vegana Riku;Carnes_Vegetales;$2.490;JUMBO;Vegano
Caja De alimentos Veganos;Snacks;$2.167;Mercadolibre ;Vegano
Nuggets de Soya Mister;Carnes_Vegetales;$2.959;JUMBO;Vegano
Crema de Avellanas;Otros;$3.390;Lider;Vegano
Barras de cereal quinola;Snacks;$3.800;Lider;Vegano
Barra de proteina Vegana;Snacks;$4.890;Lider;Vegano
Carne molida Vegetal;Carnes_Vegetales;$5.990;JUMBO;Vegano
Mermelada de Mora;Otros;$710;Lider;Vegano
Queso vegano laminado;Leche_Y_Derivados;$4.439;Lider;Vegano
Salchicha Vegana con Tofu;Carnes_Vegetales;$2.790;Lider;Vegano
Pan Marraqueta;Pan;$1.570;Lider;Vegano
Bebida Coca-Cola original 1.5 L;Bebestibles;$1.650;Jumbo;Vegano
Aceite de Coco Virgen  Mi Tierra 350g;Aceites_Y_Grasas;$5.190;Lider;Vegano
